Date,Open,High,Low,Close,Volume
30-Dec-16,766.47,767.40,748.28,749.87,4139449
29-Dec-16,772.40,773.40,760.85,765.15,3158299
28-Dec-16,776.25,780.00,770.50,772.13,3301025
27-Dec-16,763.40,774.65,761.20,771.40,2638725
23-Dec-16,764.55,766.50,757.99,760.59,1981616
22-Dec-16,768.12,771.21,763.02,766.34,2543551
21-Dec-16,770.00,771.22,765.70,770.60,2044629
20-Dec-16,768.65,774.39,767.71,771.22,2703629
19-Dec-16,758.89,770.50,756.16,766.00,3113240
16-Dec-16,765.00,765.13,754.00,757.77,4848219
15-Dec-16,766.28,769.10,760.31,761.00,3801927
14-Dec-16,778.25,780.86,762.81,768.82,5454836
13-Dec-16,764.96,782.46,762.00,774.34,5285288
12-Dec-16,766.40,766.89,757.20,760.12,2963945
9-Dec-16,770.00,770.25,765.34,768.66,2470923
8-Dec-16,771.87,773.79,765.19,767.33,3189608
7-Dec-16,764.55,770.42,755.82,770.42,3684906
6-Dec-16,763.99,768.24,757.25,764.72,3794746
5-Dec-16,745.00,761.49,742.00,759.36,4314723
2-Dec-16,743.40,748.49,736.70,740.34,3561307
1-Dec-16,752.41,753.37,738.03,743.65,4665993
