Date,Open,High,Low,Close,Volume
30-Dec-16,803.21,803.28,789.62,792.45,1735879
29-Dec-16,802.33,805.75,798.14,802.88,1057392
28-Dec-16,813.33,813.33,802.44,804.57,1214756
27-Dec-16,808.68,816.00,805.80,809.93,975962
23-Dec-16,808.01,810.97,805.11,807.80,765537
22-Dec-16,809.10,811.07,806.03,809.68,1132119
21-Dec-16,815.72,815.72,805.10,812.20,1459628
20-Dec-16,813.37,816.49,811.00,815.20,1271883
19-Dec-16,809.28,816.22,804.50,812.50,1263581
16-Dec-16,818.31,819.20,808.12,809.84,2598866
15-Dec-16,817.36,823.00,812.00,815.65,1769719
14-Dec-16,815.92,824.26,812.78,817.89,1799654
13-Dec-16,812.39,824.30,811.94,815.34,2128210
12-Dec-16,804.82,811.35,804.53,807.90,1628602
9-Dec-16,799.30,809.95,798.05,809.45,1904463
8-Dec-16,792.95,799.00,787.90,795.17,1612531
7-Dec-16,779.95,792.00,773.53,791.47,2029415
6-Dec-16,780.19,785.28,773.32,776.18,1734099
5-Dec-16,770.00,780.00,766.97,778.22,1688473
2-Dec-16,761.90,770.50,759.00,764.46,1718846
1-Dec-16,778.55,778.60,753.36,764.33,2867074
